Job Title,Salary Estimate,Location,min_salary,max_salary,avg_salary,,,,,,,,,
Senior Data Scientist,$116K-$185K  ,"San Francisco, CA",116,185,150.5,,,,,,,,,
Data Scientist,$78K-$126K  ,"Raleigh, NC",78,126,102,,,,,,,,,
"Scientist, Analytical Development",$42K-$82K  ,"Cambridge, MA",42,82,62,,,,,,,,,
Analytics Manager,$59K-$116K  ,"Dearborn, MI",59,116,87.5,,,,,,,,,
Clinical Data Scientist,$63K-$105K  ,"Groton, CT",63,105,84,,,,,,,,,
Data Scientist,$109K-$177K  ,"Herndon, VA",109,177,143,,,,,,,,,
Sr. Data Scientist,$116K-$194K  ,"Phila, PA",116,194,155,,,,,,,,,
Data Engineer,$48K-$95K  ,"Winter Park, FL",48,95,71.5,,,,,,,,,
Data Scientist,$83K-$133K  ,"Oakland, CA",83,133,108,,,,,,,,,
Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K  ,"San Diego, CA",105,198,151.5,,,,,,,,,
Digital Marketing & ECommerce Data Analyst,$31K-$72K  ,"San Rafael, CA",31,72,51.5,,,,,,,,,
Principal Scientist - Immunologist,$98K-$182K  ,"Boston, MA",98,182,140,,,,,,,,,
Senior Data Analyst,$55K-$100K  ,"Hamilton, NJ",55,100,77.5,,,,,,,,,
Insurance Financial Data Analyst,$45K-$82K  ,"Boise, ID",45,82,63.5,,,,,,,,,
Data Scientist,$83K-$135K  ,"San Francisco, CA",83,135,109,,,,,,,,,
Data Scientist,$70K-$122K  ,"Oak Ridge, TN",70,122,96,,,,,,,,,
Principal Data Scientist ,$200K-$250K,"San Francisco, CA",200,250,225,,,,,,,,,
Data Engineer,$70K-$132K  ,"Agoura Hills, CA",70,132,101,,,,,,,,,
Senior Data Scientist,$73K-$124K  ,"Woodbridge, NJ",73,124,98.5,,,,,,,,,
Data Engineer I - Azure,$54K-$101K  ,"Pella, IA",54,101,77.5,,,,,,,,,
"Sr. Scientist, Quantitative Translational Sciences",$117K-$206K  ,"Boston, MA",117,206,161.5,,,,,,,,,
MED TECH/LAB SCIENTIST - LABORATORY,$21-$34   ,"Lewes, DE",21,34,27.5,,,,,,,,,
Sr. Data Scientist II,$111K-$183K  ,"New York, NY",111,183,147,,,,,,,,,
Data Scientist,$68K-$112K  ,"San Ramon, CA",68,112,90,,,,,,,,,
Information Security Data Analyst,$42K-$74K  ,"Red Bank, NJ",42,74,58,,,,,,,,,
Excel / VBA / SQL Data Analyst,$44K-$78K  ,"Springfield, MO",44,78,61,,,,,,,,,
Machine Learning Research Scientist,$81K-$159K  ,"Pittsburgh, PA",81,159,120,,,,,,,,,
Data Scientist,$95K-$161K  ,"New York, NY",95,161,128,,,,,,,,,
Data Scientist,$75K-$124K  ,"Hillsboro, OR",75,124,99.5,,,,,,,,,
Data Scientist,$72K-$120K  ,"Detroit, MI",72,120,96,,,,,,,,,
Data Scientist,$76K-$126K  ,"Washington, DC",76,126,101,,,,,,,,,
Senior Data Scientist,$114K-$182K  ,"Burbank, CA",114,182,148,,,,,,,,,
"Data Scientist, Senior",$108K-$176K  ,"Fort Belvoir, VA",108,176,142,,,,,,,,,
Senior Data Scientist,$130K-$208K  ,"Palo Alto, CA",130,208,169,,,,,,,,,
"VP, Data Science",$83K-$166K  ,"Phoenix, AZ",83,166,124.5,,,,,,,,,
Radar Data Analyst,$42K-$76K  ,"Huntsville, AL",42,76,59,,,,,,,,,
CONSULTANT– DATA ANALYTICS GROUP,$37K-$68K  ,"San Diego, CA",37,68,52.5,,,,,,,,,
Data Engineer,$52K-$99K  ,"Houston, TX",52,99,75.5,,,,,,,,,
Senior Data Scientist,$105K-$173K  ,"Armonk, NY",105,173,139,,,,,,,,,
